PRODUCTS,GM/ML,MRP,ORDER OTY,BOX PACKING,C/S PACKING,BASE RATE,SCH.,Net order value
Glowing Gold Facial Kit ,52GM,260,0,18,72,160.25,24.00%,0
Brightening Diamond Facial Kit ,52GM,260,0,18,72,160.25,24.00%,0
Whitening Pearl Facial Kit ,52GM,240,0,18,72,147.92,13.29%,0
Flawless Papaya Facial Kit ,52GM,240,0,18,72,147.92,13.29%,0
Gentle Fruit Facial Kit ,52GM,240,0,18,72,147.92,13.29%,0
The Gold Facial single use kit ,34 GM,100,0,12,144,61.63,32.33%,0
Diamond Facial single use kit ,34 GM,90,0,12,144,55.47,32.33%,0
BRIDAL KIT ,40 GM,400,0,-,36,246.53,7.69%,0
Fruit Facial Kit ,40 GM,500,0,-,36,308.17,13.29%,0
PEARL KIT ,40 GM,500,0,-,36,308.17,13.29%,0
Papaya Kit ,40 GM,500,0,-,36,308.17,13.29%,0
ACNE PIMPLE KIT,100GM,500,0,-,24,308.17,7.69%,0
Diamond Creme Bleach 21g,20GM,45,0,36,288,18.81,0.00%,0
Diamond Creme Bleach 43g,43GM,70,0,24,288,27.56,0.00%,0
Diamond Bleach 200g,200 GM,250,0,12,96,154.08,13.29%,0
Gold Creme Bleach 21g,20GM,45,0,36,288,18.81,0.00%,0
Gold Creme Bleach ,43GM,70,0,24,288,27.56,0.00%,0
Gold  Creme Bleach ,200 GM,250,0,12,96,154.08,13.29%,0
Lacto Bleach 50ml,50GM,100,0,24,192,61.64,13.29%,0
Lacto Bleach  100ml,100 GM,175,0,12,96,107.86,13.29%,0
Gold Glowing Face Wash ,65 ML,65,0,24,192,40.06,32.33%,0
Gold Glowing Skin Face Scrub ,65 ML,75,0,24,192,46.23,13.29%,0
Gold Glowing Skin Peel-Off Mask ,65 ML,75,0,24,192,46.23,13.29%,0
Gold Glowing  Face Wash ,100 ML,90,0,12,96,55.47,19.00%,0
Protect. Face Wash Neem & Aloe ,65ML,65,0,24,192,40.06,32.33%,0
Protect. Face Scrub Neem & Aloe,65 ML,75,0,24,192,46.23,13.29%,0
Peel-Off Mask Neem & Aloe ,65 ML,75,0,24,192,46.23,13.29%,0
Neem & Aloe Face Wash ,100 ML,90,0,12,96,55.47,19.00%,0
Flawless Gel Face Wash Papaya ,65ML,65,0,24,192,40.06,32.33%,0
Flawless Face Scrub Papaya ,65 ML,75,0,24,192,46.23,13.29%,0
Flawless Peel-Off Mask Papaya ,65 ML,75,0,24,192,46.23,13.29%,0
Flawless Gel Face Wash Papaya ,100 ML,90,0,12,96,55.47,19.00%,0
Acne Magic  Face Wash ,65ML,75,0,24,192,46.23,32.33%,0
ORANGE & LIME FACE WASH,65ML,65,0,24,192,40.06,32.33%,0
Hydra White  Face Wash,65 ML,75,0,24,192,46.23,32.33%,0
N. Face Wash Almond & Honey ,65ML,65,0,24,192,40.06,32.33%,0
Charcoal Face Wash ,65ML,75,0,24,192,46.23,32.33%,0
Anti-Pollution  Pack Charcoal ,65 ML,100,0,24,192,61.64,13.29%,0
Anti-Pollution  Scrub Charcoal ,65 ML,100,0,24,192,61.64,13.29%,0
Peel-Off Mask Charcoal ,65 ML,100,0,24,192,61.64,13.29%,0
Hydra White  Face Wash ,100 ML,100,0,12,96,61.64,19.00%,0
Orange & Lime Face Wash,100 ML,90,0,12,96,55.47,19.00%,0
Charcoal Face Wash ,100 ML,100,0,12,96,61.64,19.00%,0
Aloevera Gel 50g,50GM,55,qge144:sceq24.00,48,192,33.9,19.00%,0
Aloevera Gel 100gm,100GM,100,qge144:sceq24.00%,18,144,61.63,19.00%,0
Aloe Vera Gel 150gm,150GM,125,qge144:sceq24.00,12,96,77.04,19.00%,0
Sun Ban Lotion Spf 30 60 Ml,60 ML,115,0,24,192,70.88,32.33%,0
Sun Ban Lotion Spf 40 60 Ml,60 ML,150,0,24,192,92.45,32.33%,0
 De-tan Day Serum Cream ,30 GM,50,0,24,288,30.82,13.29%,0
De-tan Day Serum Cream ,50 GM,95,0,24,192,58.55,13.29%,0
De-Tan Face Wash ,65 ML,85,0,24,192,52.39,32.33%,0
Lacto Tan Clear ,50 GM,95,0,24,192,58.55,13.29%,0
De-Tan Night Repair Gel Creme,50 GM,195,0,27,96,120.18,13.29%,0
Soft Touch  Diamond ,30GM,55,0,36,288,16.95,0.00%,0
Soft Touch  Gold ,30GM,55,0,36,288,16.95,0.00%,0
Soft Touch  Diamond ,50GM,85,0,24,192,26.2,0.00%,0
Soft Touch  Gold ,50GM,85,0,24,192,26.2,0.00%,0
Flawless Cream Papaya ,50 GM,125,0,24,192,77.04,13.29%,0
Flawless Pack Papaya ,65 ML,75,0,24,192,46.23,13.29%,0
Anti Frizz Hair Serum ,100ML,210,0,12,96,129.43,13.29%,0
Heena Plus ,100GM,50,0,12,192,30.82,13.29%,0
HEENA PLUS ,800 GM,300,0,-,12,184.9,7.69%,0
Neem Aloe Moist. Lotion ,100ML,70,0,18,144,43.14,13.29%,0
Protect Body Lotion Neem & Aloe,300ML,160,0,,48,98.61,13.29%,0
Neem Aloe Moist. Lotion Free,100ML,70,0,,,0,100.00%,0
Aloevera Bathing Bar ,75GM,40,0,21,168,24.65,28.41%,0
N. Almond & Honey LOTION ,100ML,75,0,12,192,46.23,13.29%,0
N. Almond & Honey LOTION ,400ML,210,0,-,36,129.43,13.29%,0
N. Almond & Honey LOTION Free,100ML,75,0,,,0,100.00%,0
N. Almond & Honey CREAM ,100ML,75,0,12,144,46.23,13.29%,0
N. Cleansing Milk ,400 ML,190,0,36,36,117.1,50.00%,0
